['Pasajero','tiempo_espera','tiempo_viaje','tiempo_transbordo','tiempo_total','
'],['passenger(0)','639.0','23.0','619.0','0.0','
'],['passenger(1)','44.0','200.0','0.0','244.0','
'],['passenger(2)','44.0','618.0','0.0','0.0','
'],['passenger(3)','618.0','44.0','552.0','0.0','
'],['passenger(4)','111.0','133.0','0.0','244.0','
'],['passenger(5)','622.0','40.0','511.0','0.0','
'],['passenger(6)','152.0','92.0','0.0','244.0','
'],['passenger(7)','152.0','92.0','0.0','244.0','
'],['passenger(8)','662.0','0.0','0.0','0.0','
'],['passenger(9)','662.0','0.0','0.0','0.0','
'],['passenger(10)','213.0','153.0','0.0','366.0','
'],['passenger(11)','662.0','0.0','0.0','0.0','
'],['passenger(12)','662.0','0.0','0.0','0.0','
'],['passenger(13)','586.0','76.0','319.0','0.0','
'],['passenger(14)','297.0','365.0','0.0','0.0','
'],['passenger(15)','662.0','0.0','0.0','0.0','
'],['passenger(16)','662.0','0.0','0.0','0.0','
'],['passenger(17)','327.0','335.0','0.0','0.0','
'],['passenger(18)','662.0','0.0','0.0','0.0','
'],['passenger(19)','344.0','318.0','0.0','0.0','
'],['passenger(20)','662.0','0.0','0.0','0.0','
'],['passenger(21)','662.0','0.0','0.0','0.0','
'],['passenger(22)','662.0','0.0','0.0','0.0','
'],['passenger(23)','662.0','0.0','0.0','0.0','
'],['passenger(24)','662.0','0.0','0.0','0.0','
'],['passenger(25)','662.0','0.0','0.0','0.0','
'],['passenger(26)','662.0','0.0','0.0','0.0','
'],['passenger(27)','662.0','0.0','0.0','0.0','
'],['passenger(28)','662.0','0.0','0.0','0.0','
'],['passenger(29)','662.0','0.0','0.0','0.0','
'],['passenger(30)','662.0','0.0','0.0','0.0','
'],['passenger(31)','662.0','0.0','0.0','0.0','
'],['passenger(32)','637.0','25.0','141.0','0.0','
'],['passenger(33)','662.0','0.0','0.0','0.0','
'],['passenger(34)','522.0','140.0','0.0','0.0','
'],['passenger(35)','662.0','0.0','0.0','0.0','
'],['passenger(36)','662.0','0.0','0.0','0.0','
'],['passenger(37)','553.0','109.0','0.0','0.0','
'],['passenger(38)','662.0','0.0','0.0','0.0','
'],['passenger(39)','553.0','109.0','0.0','0.0','
'],['passenger(40)','662.0','0.0','0.0','0.0','
'],['passenger(41)','581.0','81.0','0.0','0.0','
'],['passenger(42)','662.0','0.0','0.0','0.0','
'],['passenger(43)','635.0','27.0','0.0','0.0','
'],['passenger(44)','662.0','0.0','0.0','0.0','
'],['passenger(45)','662.0','0.0','0.0','0.0','
'],['passenger(46)','662.0','0.0','0.0','0.0','
'],['passenger(47)','662.0','0.0','0.0','0.0','
'],['passenger(48)','662.0','0.0','0.0','0.0','
'],['passenger(49)','662.0','0.0','0.0','0.0','
'],['passenger(50)','662.0','0.0','0.0','0.0','
'],['passenger(51)','662.0','0.0','0.0','0.0','
'],['passenger(52)','662.0','0.0','0.0','0.0','
'],['passenger(53)','662.0','0.0','0.0','0.0','
'],['passenger(54)','662.0','0.0','0.0','0.0','
'],['passenger(55)','662.0','0.0','0.0','0.0','
'],['passenger(56)','662.0','0.0','0.0','0.0','
'],['passenger(57)','662.0','0.0','0.0','0.0','
'],['passenger(58)','662.0','0.0','0.0','0.0','
'],['passenger(59)','662.0','0.0','0.0','0.0','
'],['passenger(60)','662.0','0.0','0.0','0.0','
'],['passenger(61)','662.0','0.0','0.0','0.0','
'],['passenger(62)','662.0','0.0','0.0','0.0','
'],['passenger(63)','662.0','0.0','0.0','0.0','
'],['passenger(64)','662.0','0.0','0.0','0.0','
'],['passenger(65)','662.0','0.0','0.0','0.0','
