output
['Pasajero','tiempo_espera','tiempo_viaje','tiempo_transbordo','tiempo_total','
'],['passenger(0)','652.0','0.0','0.0','0.0','
'],['passenger(1)','13.0','42.0','0.0','55.0','
'],['passenger(2)','34.0','21.0','0.0','55.0','
'],['passenger(3)','652.0','0.0','0.0','0.0','
'],['passenger(4)','56.0','596.0','0.0','0.0','
'],['passenger(5)','608.0','44.0','552.0','0.0','
'],['passenger(6)','652.0','0.0','0.0','0.0','
'],['passenger(7)','652.0','0.0','0.0','0.0','
'],['passenger(8)','101.0','551.0','0.0','0.0','
'],['passenger(9)','101.0','133.0','0.0','234.0','
'],['passenger(10)','612.0','40.0','511.0','0.0','
'],['passenger(11)','652.0','0.0','0.0','0.0','
'],['passenger(12)','612.0','40.0','511.0','0.0','
'],['passenger(13)','142.0','92.0','0.0','234.0','
'],['passenger(14)','652.0','0.0','0.0','0.0','
'],['passenger(15)','624.0','28.0','482.0','0.0','
'],['passenger(16)','142.0','510.0','0.0','0.0','
'],['passenger(17)','142.0','92.0','0.0','234.0','
'],['passenger(18)','624.0','28.0','482.0','0.0','
'],['passenger(19)','652.0','0.0','0.0','0.0','
'],['passenger(20)','142.0','510.0','0.0','0.0','
'],['passenger(21)','621.0','31.0','450.0','0.0','
'],['passenger(22)','621.0','31.0','450.0','0.0','
'],['passenger(23)','203.0','449.0','0.0','0.0','
'],['passenger(24)','652.0','0.0','0.0','0.0','
'],['passenger(25)','203.0','449.0','0.0','0.0','
'],['passenger(26)','522.0','130.0','319.0','0.0','
'],['passenger(27)','652.0','0.0','0.0','0.0','
'],['passenger(28)','257.0','395.0','0.0','0.0','
'],['passenger(29)','652.0','0.0','0.0','0.0','
'],['passenger(30)','576.0','76.0','319.0','0.0','
'],['passenger(31)','652.0','0.0','0.0','0.0','
'],['passenger(32)','652.0','0.0','0.0','0.0','
'],['passenger(33)','652.0','0.0','0.0','0.0','
'],['passenger(34)','287.0','365.0','0.0','0.0','
'],['passenger(35)','652.0','0.0','0.0','0.0','
'],['passenger(36)','652.0','0.0','0.0','0.0','
'],['passenger(37)','652.0','0.0','0.0','0.0','
'],['passenger(38)','652.0','0.0','0.0','0.0','
'],['passenger(39)','334.0','318.0','0.0','0.0','
'],['passenger(40)','652.0','0.0','0.0','0.0','
'],['passenger(41)','652.0','0.0','0.0','0.0','
'],['passenger(42)','652.0','0.0','0.0','0.0','
'],['passenger(43)','652.0','0.0','0.0','0.0','
'],['passenger(44)','385.0','267.0','0.0','0.0','
'],['passenger(45)','652.0','0.0','0.0','0.0','
'],['passenger(46)','652.0','0.0','0.0','0.0','
'],['passenger(47)','652.0','0.0','0.0','0.0','
'],['passenger(48)','652.0','0.0','0.0','0.0','
'],['passenger(49)','409.0','243.0','0.0','0.0','
'],['passenger(50)','652.0','0.0','0.0','0.0','
'],['passenger(51)','652.0','0.0','0.0','0.0','
'],['passenger(52)','652.0','0.0','0.0','0.0','
'],['passenger(53)','652.0','0.0','0.0','0.0','
'],['passenger(54)','460.0','192.0','0.0','0.0','
